gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,design,contrast,contrast_name,pct_cells_neoplastic,pct_cells_normal,pct_cells_smm_neoplastic,pct_cells_nbm_normal,patient_prevalence,recurrence_n_samples,recurrence_frac,recurrence_denom,recurrence_smm_n,recurrence_smm_denom,mgus_coverage_n,mgus_coverage_frac,mgus_coverage_denom,smm_coverage_n,smm_coverage_frac,smm_coverage_denom,mm_coverage_n,mm_coverage_frac,mm_coverage_denom,smmh_coverage_n,smmh_coverage_frac,smmh_coverage_denom,smml_coverage_n,smml_coverage_frac,smml_coverage_denom,mm_retained
RP11-217B7.3,0.48708054879835216,0.6093316345169885,2.315350580294358,0.2631703551517983,0.7924192788069364,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0004213187276174426,0.0001927153594141453,0.00025246149962130775,0.0002144082332761578,0.043478260869565216,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
SLC44A1,165.1126331505778,-0.4011212433934787,0.2553762659479774,-1.5707068231438193,0.11625076358726509,0.305711003091771,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.30524541815883716,0.26903064174214686,0.3235294117647059,0.26565180102915953,1.0,2,0.18181818181818182,11,0,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
FSD1L,6.2655139749379964,0.6567204277661094,0.6395149867757658,1.0269038902076215,0.30446572232006663,0.5360175739332557,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.015694122603749736,0.0076122566968587395,0.013254228730118656,0.007718696397941681,0.6956521739130435,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
RP11-235C23.5,1.0940532907797864,-0.9405883071384166,0.7271309090524478,-1.29356116681126,0.19581704331325567,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.002264588160943754,0.0032761611100404703,0.0023983842464024236,0.003537735849056604,0.34782608695652173,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
FKTN,7.9001856936426815,0.4508027371444604,0.3289538867748249,1.3704131650921738,0.17055796477890517,0.38253800427826423,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.026701074362755425,0.013297359799576027,0.02638222671042666,0.013078902229845627,0.8695652173913043,1,0.09090909090909091,11,0,5,0,0.0,3,0,0.0,12,1,0.125,8,0,0.0,9,0,0.0,3,True
TAL2,0.2947529303620768,2.1997707274185965,2.380578456580768,0.9240488257539446,0.3554608952963947,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0008426374552348852,9.635767970707265e-05,0.0006311537490532694,0.0001072041166380789,0.2608695652173913,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
TMEM38B,58.75535497979839,0.5001676447828459,0.25511115262195444,1.9605871387521703,0.04992720388603329,0.1829343316988257,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.14251105961659996,0.09308151859703219,0.15286543802070185,0.09219554030874785,0.9130434782608695,7,0.6363636363636364,11,3,5,2,0.6666666666666666,3,11,0.9166666666666666,12,7,0.875,8,8,0.8888888888888888,9,3,1.0,3,True
RAD23B,73.81573301237877,0.15533911964016184,0.26084816061785593,0.5955154879076742,0.5514989494511388,0.7472373752590756,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.16994944175268592,0.12844478704952786,0.1883362787174956,0.12328473413379074,1.0,3,0.2727272727272727,11,0,5,3,1.0,3,12,1.0,12,8,1.0,8,9,1.0,9,3,1.0,3,True
KLF4,37.49296924146159,0.626598164445336,0.9019391801099298,0.6947233009314057,0.4872287226716162,0.6995190067986748,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.11538866652622709,0.03680863364810175,0.19010350921484473,0.032590051457975985,0.6521739130434783,4,0.36363636363636365,11,2,5,2,0.6666666666666666,3,5,0.4166666666666667,12,2,0.25,8,5,0.5555555555555556,9,0,0.0,3,True
ACTL7B,0.05644354546569167,1.018280768277613,3.273180458104095,0.31109826705595867,0.7557259185231038,,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0004213187276174426,0.0001927153594141453,0.0005049229992426155,0.0001072041166380789,0.08695652173913043,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
IKBKAP,13.145868102593486,0.4414404043485185,0.31052524550126426,1.4215926426076078,0.15514454188189694,0.36143850379550424,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.03760269643985675,0.022547697051455002,0.04607422368088866,0.02240566037735849,0.8260869565217391,0,0.0,11,0,5,0,0.0,3,2,0.16666666666666666,12,3,0.375,8,0,0.0,9,2,0.6666666666666666,3,True
FAM206A,13.912836228020808,0.3231120929078954,0.334599921440773,0.9656669718169344,0.33421085150132535,0.5658721543710774,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.02933431641036444,0.019367893621121603,0.0309265337036102,0.018224699828473412,0.8695652173913043,2,0.18181818181818182,11,1,5,1,0.3333333333333333,3,3,0.25,12,1,0.125,8,2,0.2222222222222222,9,1,0.3333333333333333,3,True
CTNNAL1,21.633223116601496,0.26031881805397694,0.2634304839222186,0.9881879051280928,0.3230606304914242,0.5557557734823283,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.04302717505793133,0.03854307188282906,0.0681646048977531,0.03805746140651801,0.9565217391304348,1,0.09090909090909091,11,0,5,1,0.3333333333333333,3,4,0.3333333333333333,12,3,0.375,8,3,0.3333333333333333,9,1,0.3333333333333333,3,True
TMEM245,35.024992454793505,0.9119004255398029,0.27058469075663233,3.3701109363943242,0.0007513792754657713,0.011337999684506972,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.09511270275963767,0.04692619001734438,0.10527644534208533,0.044704116638078904,0.9565217391304348,7,0.6363636363636364,11,4,5,2,0.6666666666666666,3,11,0.9166666666666666,12,7,0.875,8,8,0.8888888888888888,9,3,1.0,3,True
FRRS1L,1.2023193278358,2.4631220147592856,1.3997310211937648,1.759710956937001,0.07845682708026291,0.2427674385749869,~status,"['status', 'neoplastic', 'normal']",B_SMM_vs_NBM,0.0011586265009479672,0.0003854307188282906,0.0016409997475385005,0.0004288164665523156,0.30434782608695654,0,0.0,11,0,5,0,0.0,3,0,0.0,12,0,0.0,8,0,0.0,9,0,0.0,3,True
