names,scores,logfoldchanges,pvals,pvals_adj
FAM180B,0.047379088,1.4506047,0.9622110967017432,1.0
TBC1D29,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-227D13.4,0.047379088,1.4506047,0.9622110967017432,1.0
CTC-344H19.4,0.047379088,1.4506047,0.9622110967017432,1.0
RP4-777O23.3,0.047379088,1.4506047,0.9622110967017432,1.0
ASB12,0.047379088,1.4506047,0.9622110967017432,1.0
CTSV,0.047379088,1.4506047,0.9622110967017432,1.0
OTP,0.047379088,1.4506047,0.9622110967017432,1.0
ALDH1A2,0.047379088,1.4506047,0.9622110967017432,1.0
RP11-325L12.7,0.047379088,1.4506047,0.9622110967017432,1.0
NAP1L6,0.047296286,0.12871896,0.9622770878517801,1.0
SHMT2,0.047096126,0.09514908,0.9624366153506367,1.0
KIAA1683,0.046721004,0.0616589,0.9627355899961182,1.0
SPATA41,0.046602923,0.23830187,0.9628297021032498,1.0
C9orf147,0.046602923,0.23830187,0.9628297021032498,1.0
KCND1,0.046602923,0.23830187,0.9628297021032498,1.0
RP11-768F21.1,0.04644668,0.38247097,0.9629542292846742,1.0
LY6G5B,0.046437323,0.33512726,0.9629616894671207,1.0
RP11-191G24.1,0.04642508,0.27548632,0.9629714450952124,1.0
RP11-240M16.1,0.046281803,0.9064723,0.963085643741806,1.0
SGMS2,0.046276763,1.5314568,0.9630896607934273,1.0
GLI1,0.046271723,0.56924766,0.9630936778459853,1.0
RP11-6N17.6,0.046271723,0.56924766,0.9630936778459853,1.0
EBF4,0.046271723,0.56924766,0.9630936778459853,1.0
GRAPL,0.046271723,0.56924766,0.9630936778459853,1.0
HIC1,0.046271723,0.56924766,0.9630936778459853,1.0
CORIN,0.046271723,0.56924766,0.9630936778459853,1.0
CXCR2,0.04610756,2.4506667,0.9632245194980552,1.0
GPC5,0.04610756,2.4506667,0.9632245194980552,1.0
CASC10,0.04610684,2.298626,0.9632250933671341,1.0
CLRN1,0.04610684,2.298626,0.9632250933671341,1.0
MYH14,0.04610684,2.298626,0.9632250933671341,1.0
AC092881.1,0.046106122,2.1286633,0.9632256672362322,1.0
AP001626.2,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-638I2.4,0.046106122,2.1286633,0.9632256672362322,1.0
ATP10A,0.046106122,2.1286633,0.9632256672362322,1.0
RP11-500G22.4,0.046106122,2.1286633,0.9632256672362322,1.0
