gene,sig_tissues,n_sig_tissues,lymphoid_fdr,tier
UBC,"skeletal muscle, tongue",2,,3_vital
UBD,tonsil,1,2.60402010462161e-07,1a_lymphoid
UBE2A,skeletal muscle,1,,3_vital
UBE2B,skeletal muscle,1,,3_vital
UBE2C,"bone marrow, thymus",2,1.6807005135946573e-05,1a_lymphoid
UBE2D1,skeletal muscle,1,,3_vital
UBE2D2,skeletal muscle,1,,3_vital
UBE2D3,bone marrow,1,1.94972468665218e-09,1a_lymphoid
UBE2D4,"skeletal muscle, tongue",2,,3_vital
UBE2E1,,0,,4_broad
UBE2E2,blood vessel,1,,2_restricted
UBE2E3,skeletal muscle,1,,3_vital
UBE2F,pancreas,1,,3_vital
UBE2G1,skeletal muscle,1,,3_vital
UBE2G2,"skeletal muscle, tongue",2,,3_vital
UBE2H,heart muscle,1,,3_vital
UBE2I,thymus,1,0.010651302442895798,1a_lymphoid
UBE2J1,"bone marrow, tonsil",2,0.0004736118079186735,1a_lymphoid
UBE2J2,testis,1,,1b_testis_CT
UBE2K,liver,1,,3_vital
UBE2L3,,0,,4_broad
UBE2L5,testis,1,,1b_testis_CT
UBE2L6,,0,,4_broad
UBE2M,"amygdala, cerebral cortex",2,,3_vital
UBE2N,testis,1,,1b_testis_CT
UBE2O,cerebellum,1,,3_vital
UBE2Q1,,0,,4_broad
UBE2Q2,,0,,4_broad
UBE2QL1,"cerebellum, skeletal muscle",2,,3_vital
UBE2R2,skeletal muscle,1,,3_vital
UBE2S,"bone marrow, testis",2,0.0029875660605800615,1a_lymphoid
UBE2T,thymus,1,1.5473361925223176e-06,1a_lymphoid
UBE2U,testis,1,,1b_testis_CT
UBE2V1,,0,,4_broad
UBE2V2,cerebral cortex,1,,3_vital
UBE2W,,0,,4_broad
UBE2Z,epididymis,1,,2_restricted
UBE3A,"skeletal muscle, tongue",2,,3_vital
UBE3B,"skeletal muscle, tongue",2,,3_vital
UBE3C,"skeletal muscle, tongue",2,,3_vital
